fuse_nofuse_parallel_tile_32x16x1.c 1500000 10  22.1848 1306.07 58.8845 46.4 39.4
fuse_nofuse_parallel_tile_32x16x1.c 1500000 12  18.9445 1188.68 62.7556 48.2 40.5
fuse_nofuse_parallel_tile_32x16x1.c 1500000 14  15.5596 1062.1 68.2827 49.1 41.6
fuse_nofuse_parallel_tile_32x16x1.c 1500000 15  15.4235 1057.51 68.6034 48.5 41.8
fuse_nofuse_parallel_tile_32x16x1.c 1500000 16  14.2914 1015.6 71.0902 48.5 42.4
fuse_nofuse_parallel_tile_32x16x1.c 1500000 8  27.2728 1492.96 54.7501 44.8 38.8
fuse_nofuse_parallel_tile_32x16x1.c 1800000 10  18.57 1287.45 69.3349 49.9 43.3
fuse_nofuse_parallel_tile_32x16x1.c 1800000 12  15.869 1187.84 74.8547 52.2 44.2
fuse_nofuse_parallel_tile_32x16x1.c 1800000 14  13.1654 1081.01 82.1187 53.3 46.1
fuse_nofuse_parallel_tile_32x16x1.c 1800000 15  12.9274 1076.43 83.2789 53.5 45.7
fuse_nofuse_parallel_tile_32x16x1.c 1800000 16  11.8517 1028.75 86.8156 54 46.9
fuse_nofuse_parallel_tile_32x16x1.c 1800000 8  23.1025 1459.82 63.1898 48.8 40.9
fuse_nofuse_parallel_tile_32x16x1.c 2100000 10  14.6362 1216.91 83.1502 56.6 48.6
fuse_nofuse_parallel_tile_32x16x1.c 2100000 12  12.4627 1135.97 91.171 59.5 51.5
fuse_nofuse_parallel_tile_32x16x1.c 2100000 14  10.9258 1070.48 98.0036 60.2 52.7
fuse_nofuse_parallel_tile_32x16x1.c 2100000 15  10.6441 1060.01 99.7186 60.3 52.7
fuse_nofuse_parallel_tile_32x16x1.c 2100000 16  9.67043 1015.79 105.104 59.6 51.3
fuse_nofuse_parallel_tile_32x16x1.c 2100000 8  18.1592 1354.82 74.6341 53.6 47.1
fuse_nofuse_parallel_tile_32x16x1.c 2400000 10  12.8847 1271.74 98.713 64 54.5
fuse_nofuse_parallel_tile_32x16x1.c 2400000 12  10.9502 1192.38 108.911 68.2 56.6
fuse_nofuse_parallel_tile_32x16x1.c 2400000 14  9.21422 1109.28 120.463 69.5 57.8
fuse_nofuse_parallel_tile_32x16x1.c 2400000 15  9.16861 1116.09 121.81 68 57.8
fuse_nofuse_parallel_tile_32x16x1.c 2400000 16  8.34273 1066.83 127.983 68.1 57.1
fuse_nofuse_parallel_tile_32x16x1.c 2400000 8  15.9893 1396.53 87.3747 60.8 51.7
fuse_nofuse_parallel_tile_32x16x1.c 2700000 10  11.463 1358.39 118.522 68.9 58
fuse_nofuse_parallel_tile_32x16x1.c 2700000 12  9.68609 1271 131.222 69.7 60
fuse_nofuse_parallel_tile_32x16x1.c 2700000 14  8.1264 1182.74 145.568 76.4 63.1
fuse_nofuse_parallel_tile_32x16x1.c 2700000 15  8.04396 1193.9 148.431 72.7 62.7
fuse_nofuse_parallel_tile_32x16x1.c 2700000 16  7.30442 1110.38 152.062 64.8 57.3
fuse_nofuse_parallel_tile_32x16x1.c 2700000 8  14.2131 1474.48 103.795 65.4 56
