fuse_nofuse_prevector_parallel_tile_32x16x1.c 1500000 10  22.178 1306.28 58.907 46.1 39.2
fuse_nofuse_prevector_parallel_tile_32x16x1.c 1500000 12  18.7647 1180.63 62.9239 47.5 40.1
fuse_nofuse_prevector_parallel_tile_32x16x1.c 1500000 14  15.864 1076.79 67.8872 48.8 41.3
fuse_nofuse_prevector_parallel_tile_32x16x1.c 1500000 15  15.3725 1052.79 68.5149 48.3 41.4
fuse_nofuse_prevector_parallel_tile_32x16x1.c 1500000 16  14.1004 1005.13 71.3183 49.5 41.9
fuse_nofuse_prevector_parallel_tile_32x16x1.c 1500000 8  27.1549 1477.8 54.425 45.2 38.4
fuse_nofuse_prevector_parallel_tile_32x16x1.c 1800000 10  18.7227 1296.98 69.2794 49.2 42.1
fuse_nofuse_prevector_parallel_tile_32x16x1.c 1800000 12  15.894 1189.15 74.818 51.7 44.2
fuse_nofuse_prevector_parallel_tile_32x16x1.c 1800000 14  13.0724 1072.87 82.0768 54 45.6
fuse_nofuse_prevector_parallel_tile_32x16x1.c 1800000 15  13.1459 1082.34 82.3533 53.4 45.4
fuse_nofuse_prevector_parallel_tile_32x16x1.c 1800000 16  11.886 1030.2 86.6945 54.4 47.2
fuse_nofuse_prevector_parallel_tile_32x16x1.c 1800000 8  22.9686 1457.68 63.4657 48.4 40.8
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2100000 10  14.699 1215.44 82.7102 54.6 47.9
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2100000 12  12.6804 1146.02 90.4286 59.1 49.4
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2100000 14  10.7329 1057.51 98.6026 60.2 52
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2100000 15  10.1389 1036.81 102.262 61.6 52.6
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2100000 16  9.90091 1032.35 104.277 59.2 52.5
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2100000 8  18.1579 1350.42 74.4113 52.7 46.8
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2400000 10  13.0258 1271.64 97.6962 61.6 52.9
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2400000 12  10.9779 1199.67 109.328 65.4 55.8
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2400000 14  9.29227 1115.1 120.068 68.6 58
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2400000 15  9.17502 1113.18 121.41 67.7 58.2
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2400000 16  8.40019 1081.93 128.827 69.5 58.8
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2400000 8  15.7563 1387.86 88.0817 59.6 50.5
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2700000 10  11.6241 1364.08 117.399 67.3 57.3
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2700000 12  9.72341 1249.13 128.476 68.7 58
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2700000 14  8.14814 1183.3 145.266 75.3 62.6
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2700000 15  8.01129 1192.83 148.919 74.3 62.3
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2700000 16  7.28268 1131.83 155.424 71.1 62.5
fuse_nofuse_prevector_parallel_tile_32x16x1.c 2700000 8  14.1596 1457.95 102.998 65 56.6
