
fuse_nofuse_parallel_tile_32x16x1 2700000 8  3.34137 362.996 108.651 64 55.8
fuse_nofuse_parallel_tile_32x16x1 2700000 16  1.73545 267.167 153.947 56.5 52.4
fuse_nofuse_parallel_tile_32x16x1 2700000 15  2.13723 297.802 139.369 68.6 60.2
fuse_nofuse_parallel_tile_32x16x1 2700000 14  2.13764 298.752 139.78 70 60.3
fuse_nofuse_parallel_tile_32x16x1 2700000 12  2.51244 317.42 126.383 67.6 59.6
fuse_nofuse_parallel_tile_32x16x1 2700000 10  2.85878 336.595 117.773 67 57.7
fuse_nofuse_parallel_tile_32x16x1 2600000 8  3.49794 357.108 102.15 60.9 52.6
fuse_nofuse_parallel_tile_32x16x1 2600000 16  1.80715 262.547 145.282 57.6 51.9
fuse_nofuse_parallel_tile_32x16x1 2600000 15  2.24624 292.28 130.132 66.1 57.8
fuse_nofuse_parallel_tile_32x16x1 2600000 14  2.24117 292.068 130.355 66.9 57
fuse_nofuse_parallel_tile_32x16x1 2600000 12  2.6203 310.49 118.57 66.6 57.1
fuse_nofuse_parallel_tile_32x16x1 2600000 10  3.03934 328.943 108.278 65.9 53.3
fuse_nofuse_parallel_tile_32x16x1 2500000 8  3.56513 347.407 97.5211 59.9 52.7
fuse_nofuse_parallel_tile_32x16x1 2500000 16  1.88137 260.53 138.479 65.8 56.4
fuse_nofuse_parallel_tile_32x16x1 2500000 15  2.34347 288 122.904 66.5 56.9
fuse_nofuse_parallel_tile_32x16x1 2500000 14  2.33123 285.607 122.533 65.8 55.5
fuse_nofuse_parallel_tile_32x16x1 2500000 12  2.74407 306.16 111.68 64.6 54.9
fuse_nofuse_parallel_tile_32x16x1 2500000 10  3.15002 325.049 103.288 63.3 52.7
fuse_nofuse_parallel_tile_32x16x1 2400000 8  3.79443 347.885 91.7023 59.1 50
fuse_nofuse_parallel_tile_32x16x1 2400000 16  1.96639 256.733 130.56 65.9 55.4
fuse_nofuse_parallel_tile_32x16x1 2400000 15  2.43527 283.246 116.365 66.1 56
fuse_nofuse_parallel_tile_32x16x1 2400000 14  2.42488 280.743 115.832 64.2 53.8
fuse_nofuse_parallel_tile_32x16x1 2400000 12  2.85432 301.135 105.58 63.3 55
fuse_nofuse_parallel_tile_32x16x1 2400000 10  3.35627 321.54 95.8404 61.1 51.6
fuse_nofuse_parallel_tile_32x16x1 2300000 8  3.99624 344.166 86.1404 55.6 48.6
fuse_nofuse_parallel_tile_32x16x1 2300000 16  2.06029 251.99 122.308 62.5 53.4
fuse_nofuse_parallel_tile_32x16x1 2300000 15  2.53725 277.872 109.587 63 54.4
fuse_nofuse_parallel_tile_32x16x1 2300000 14  2.56757 278.832 108.611 61.3 52.7
fuse_nofuse_parallel_tile_32x16x1 2300000 12  2.99908 297.06 99.1043 61.1 52.2
fuse_nofuse_parallel_tile_32x16x1 2300000 10  3.51632 318.076 90.4831 57.9 49.1
fuse_nofuse_parallel_tile_32x16x1 2200000 8  4.123 339.356 82.3302 54.3 47.9
fuse_nofuse_parallel_tile_32x16x1 2200000 16  2.15937 248.167 114.926 59.3 52
fuse_nofuse_parallel_tile_32x16x1 2200000 15  2.64464 272.908 103.213 63 52.5
fuse_nofuse_parallel_tile_32x16x1 2200000 14  2.63387 271.538 103.124 59 53.1
fuse_nofuse_parallel_tile_32x16x1 2200000 12  3.1328 292.853 93.526 58.6 51.1
fuse_nofuse_parallel_tile_32x16x1 2200000 10  3.60591 312.695 86.7544 56.1 50.3
fuse_nofuse_parallel_tile_32x16x1 2100000 8  4.31337 338.333 78.458 52.9 45.7
fuse_nofuse_parallel_tile_32x16x1 2100000 16  2.27215 244.364 107.547 58.9 49.7
fuse_nofuse_parallel_tile_32x16x1 2100000 15  2.81625 271.748 96.503 60.1 51.3
fuse_nofuse_parallel_tile_32x16x1 2100000 14  2.76437 268.754 97.2575 58.4 50.8
fuse_nofuse_parallel_tile_32x16x1 2100000 12  3.27137 289.682 88.5726 56.7 49.9
fuse_nofuse_parallel_tile_32x16x1 2100000 10  3.77679 310.927 82.3281 55.2 48.1
fuse_nofuse_parallel_tile_32x16x1 1800000 8  5.0248 335.658 66.8343 48.5 42.6
fuse_nofuse_parallel_tile_32x16x1 1800000 16  2.68843 238.695 88.7863 53.2 45
fuse_nofuse_parallel_tile_32x16x1 1800000 15  3.28415 265.276 80.7974 53.3 46.4
fuse_nofuse_parallel_tile_32x16x1 1800000 14  3.23269 262.85 81.3523 51.4 46.3
fuse_nofuse_parallel_tile_32x16x1 1800000 12  3.83254 286.524 74.772 51.5 45.3
fuse_nofuse_parallel_tile_32x16x1 1800000 10  4.43629 309.369 69.7597 50.2 43.7
fuse_nofuse_parallel_tile_32x16x1 1500000 8  6.18992 351.755 56.8485 45.1 39.9
fuse_nofuse_parallel_tile_32x16x1 1500000 16  3.28882 239.991 72.9717 48.9 41.8
fuse_nofuse_parallel_tile_32x16x1 1500000 15  4.03992 270.201 66.902 48.7 42
fuse_nofuse_parallel_tile_32x16x1 1500000 14  3.92935 265.885 67.6877 48.2 42.4
fuse_nofuse_parallel_tile_32x16x1 1500000 12  4.60814 290.729 63.1173 47.8 41.5
fuse_nofuse_parallel_tile_32x16x1 1500000 10  5.40309 318.725 58.9929 46.2 40.2
fuse_nofuse_parallel_tile_32x16x1 1200000 8  7.60976 376.553 49.4972 42.9 37
fuse_nofuse_parallel_tile_32x16x1 1200000 16  4.22434 252.948 59.8792 44.5 39.3
fuse_nofuse_parallel_tile_32x16x1 1200000 15  4.9866 281.741 56.5673 44.7 39.6
fuse_nofuse_parallel_tile_32x16x1 1200000 14  5.08972 284.985 56.0061 43.6 39.6
fuse_nofuse_parallel_tile_32x16x1 1200000 12  5.84001 311.19 53.3223 43.9 39.3
fuse_nofuse_parallel_tile_32x16x1 1200000 10  6.71347 340.754 50.7803 43.8 37.9
