40 65.8115 5091.53 77.3653	40 56.483 4382.93 77.5973
45 58.6848 5101.51 86.9307	45 50.9415 4448.17 87.3193
50 53.4118 5155.53 96.5243	50 47.1807 4572.97 96.9246
55 50.2528 5306.69 105.6	55 44.4203 4739.93 106.706
60 46.9733 5421.28 115.412	60 41.3449 4663.55 112.796
65 44.3255 5561.99 125.48	65 41.1916 4679.2 113.597
70 42.5298 5689.6 133.779	70 41.2047 4704.65 114.178
75 40.982 5668 138.305	75 41.1678 4725.49 114.787
80 40.8244 5593.93 137.025	80 41.2956 4695.67 113.709
85 41.125 5528.78 134.438	85 41.2715 4687.25 113.571
90 40.8956 5485.14 134.125	90 41.337 4694.32 113.562
95 40.9235 5503.32 134.479	95 41.2732 4690.17 113.637
100 40.9693 5490.85 134.024	100 41.2669 4676.1 113.314
NoCap 40.8348 5492.1 134.496	0 41.264 4695.13 113.783
