6.25%;180862;180736;59127;45802.2;30996;7654.77;7664.49;21315.2;3641.86;3638.28;1182.64;932.803;626.94;147.794;148.245;434.729
12.5%;178830;178706;58670.4;45594.5;30559.1;7343.29;7365.13;21188.9;3598.13;3594.63;1172.42;928.415;617.688;141.117;141.783;432.016
18.75%;130320;130233;42077.4;32911.3;21656.3;6123.36;6151.08;15401.8;2473.33;2470.86;789.377;635.239;413.541;110.92;111.399;297.839
25%;98394.5;98326.2;30966.4;24021.3;15749.1;5842.65;5843.89;11229.6;1755.97;1754.03;542.415;437.233;282.759;101.287;101.276;205.212
31.25%;72942.3;72890.7;22141.1;16915.2;11234.2;5339.45;5316.04;7979.51;1188.83;1187.36;350.428;282.094;184.189;85.3097;84.914;134.129
37.5%;63458.5;63414.9;18963.3;14369.5;9567.23;5136.16;5126.52;6665.15;978.324;977.111;283.019;227.962;148.814;76.8198;76.4601;106.561
43.75%;56013.9;55976.4;16369.8;12432.9;8203.5;5000.84;5015.9;5741.76;830.314;829.265;232.846;188.845;121.9;74.2919;73.7394;88.0323
50%;55169.5;55132.2;16117.4;12159.1;8121.91;4940.51;4942.76;5608.64;763.63;762.628;214.023;172.447;113.049;67.6699;67.3283;80.743
56.25%;54280.9;54246.4;15699.7;11686;7878.1;5193.11;5177.61;5314.25;665.175;664.293;181.073;145.024;95.6603;66.6545;66.2708;66.8945
62.5%;54961.8;54928.3;15710.5;11713.7;7894.15;5358.47;5352.31;5522.54;631.674;630.854;168.964;136.221;89.58;64.8576;64.4791;65.6644
68.75%;55563.6;55530.9;15575.5;11767.5;7644.93;5793.32;5793.11;5506.71;558.789;558.048;145.741;119.592;75.6539;61.5658;61.2271;57.147
75%;57886.7;57854;16024.6;11872.6;8111.6;6293.17;6278.98;5477.45;514.967;514.28;131.69;105.746;71.1379;59.7831;59.382;49.9467
81.25%;59537.4;59505.5;16188.2;11944.1;8281.57;6849.57;6810.56;5544.35;499.274;498.612;124.567;99.694;68.11;61.8679;61.4912;47.5236
87.5%;63453;63421.8;16941.3;12541.7;9078.62;7339.66;7313.52;5932.57;470.843;470.228;114.687;92.045;66.9093;58.6816;58.277;44.8188
93.75%;67885.3;67852.2;17453.9;12948.2;9861.66;8429.59;8405.8;6128.13;447.303;446.731;103.778;83.6976;64.6239;60.4475;60.0741;40.942
100%;73009.9;72976.6;18298.3;13438.6;10937.1;9366.37;9260.27;6438.92;431.347;430.809;97.1118;77.7626;64.4826;60.1524;59.7054;38.5619
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
6.25%;2.4772256913;2.4766294949;3.2312837805;3.4082568125;2.8340236443;0.8172611161;0.827674571;3.3103688196;8.4429936919;8.4452274674;12.1781287135;11.9955222691;9.7226228471;2.4569925722;2.4829412415;11.273536833
12.5%;2.4493938493;2.448812359;3.2063306427;3.3928013335;2.7940770405;0.7840059703;0.7953472199;3.2907537289;8.3416135965;8.3439064643;12.0728891855;11.9390941147;9.5791422802;2.3459911824;2.3747098252;11.2031824158
18.75%;1.7849634091;1.7845857439;2.2995250925;2.4490125459;1.9800769857;0.6537602081;0.6642441311;2.3919849913;5.7339682437;5.7353955001;8.1285384474;8.1689526842;6.4132184496;1.84398295;1.8658111327;7.7236598819
25%;1.3476870945;1.347366142;1.6923102146;1.7874853035;1.4399703761;0.6237902197;0.6310712323;1.7440191833;4.0708988355;4.0714794723;5.585469531;5.6226643656;4.3850434071;1.6838397138;1.6962619797;5.3216257498
31.25%;0.9990740982;0.9988229104;1.21000858;1.2587025434;1.027164422;0.5700660982;0.5740696546;1.2392621744;2.7560873264;2.7561169799;3.6085007177;3.6276307634;2.8564139783;1.4182260392;1.4222164159;3.478277782
37.5%;0.8691766459;0.8689758087;1.0363421739;1.0692706085;0.8747501623;0.548361852;0.5536037286;1.0351347742;2.2680672405;2.2680840001;2.9143626212;2.9315120636;2.3078163722;1.277086201;1.2806228582;2.7633752486
43.75%;0.7672096524;0.767045875;0.8946076958;0.9251633355;0.7500617165;0.5339144194;0.5416580726;0.8917271841;1.9249328267;1.9249017546;2.3977106799;2.4284810436;1.8904324577;1.2350612777;1.2350541157;2.2828828455
50%;0.7556440976;0.7554777833;0.8808140647;0.9047891894;0.7426017866;0.5274732901;0.5337598148;0.8710529095;1.7703380341;1.7702229991;2.2038825354;2.2176084647;1.7531706228;1.1249742321;1.1276752187;2.0938542966
56.25%;0.7434731454;0.7433396459;0.8579868075;0.8695846294;0.7203097713;0.5544421158;0.5591208464;0.8253325092;1.5420879246;1.5419663935;1.8645828828;1.864958219;1.4835056279;1.1080937751;1.1099632529;1.7347303945
62.5%;0.7527992779;0.752683737;0.8585770263;0.871645856;0.7217772536;0.5720967675;0.577986387;0.8576811018;1.4644219155;1.4643473094;1.7398915477;1.7517546996;1.3892119735;1.0782213179;1.079954242;1.7028310327
