100% 2 5.13702 367.668 71.5723
100% 4 3.8771 332.695 85.8102
100% 6 3.80863 368.82 96.8381
100% 8 3.84538 414.858 107.885
100% 10 3.86654 463.986 120
100% 12 3.88145 512.926 132.148
100% 14 3.89429 566.2 145.392
100% 16 3.95313 605.202 153.094

93.75% 2 5.34984 360.123 67.3148
93.75% 4 3.94083 313.068 79.4422
93.75% 6 3.87723 344.745 88.9154
93.75% 8 3.90287 384.988 98.6422
93.75% 10 3.92936 424.545 108.044
93.75% 12 3.94774 467.389 118.394
93.75% 14 3.95333 511.332 129.342
93.75% 16 4.00292 548.433 137.008

87.5% 2 5.61383 353.782 63.0195
87.5% 4 4.00812 295.711 73.778
87.5% 6 3.93728 322.193 81.8314
87.5% 8 3.9739 356.09 89.6071
87.5% 10 3.99625 392.276 98.161
87.5% 12 4.01559 429.014 106.837
87.5% 14 4.02012 464.628 115.576
87.5% 16 4.08346 498.404 122.054

81.25% 2 5.95395 347.538 58.3712
81.25% 4 4.10249 280.45 68.3608
81.25% 6 4.02634 302.445 75.1167
81.25% 8 4.06316 332.2 81.7591
81.25% 10 4.07934 362.374 88.8316
81.25% 12 4.09165 393.325 96.1287
81.25% 14 4.09759 421.802 102.939
81.25% 16 4.17427 453.019 108.526

75% 2 6.15356 347.344 56.4459
75% 4 4.15991 273.829 65.8257
75% 6 4.07142 294.047 72.2223
75% 8 4.11007 322.125 78.3746
75% 10 4.12748 349.505 84.6776
75% 12 4.13656 378.115 91.4079
75% 14 4.14218 404.987 97.7715
75% 16 4.20514 430.771 102.439
