100% 2 3.17394 226.96 71.5075
100% 4 2.28215 195.388 85.616
100% 6 2.27128 219.347 96.5741
100% 8 2.301 249.492 108.428
100% 10 2.32242 280.664 120.85
100% 12 2.32793 309.228 132.834
100% 14 2.33185 342.6 146.922
100% 16 2.37269 370.451 156.131

93.75% 2 3.32437 220.458 66.3158
93.75% 4 2.31429 182.891 79.0267
93.75% 6 2.30241 204.72 88.9156
93.75% 8 2.34003 231.008 98.7203
93.75% 10 2.35531 255.913 108.653
93.75% 12 2.36122 282.481 119.634
93.75% 14 2.36931 309.482 130.621
93.75% 16 2.40269 332.928 138.565

87.5% 2 3.52155 218.611 62.0781
87.5% 4 2.36538 173.849 73.4975
87.5% 6 2.34627 191.177 81.4811
87.5% 8 2.38442 213.913 89.713
87.5% 10 2.40253 236.514 98.4436
87.5% 12 2.4059 259.408 107.822
87.5% 14 2.41157 281.658 116.794
87.5% 16 2.45479 302.844 123.369

81.25% 2 3.76191 216.185 57.4668
81.25% 4 2.43419 165.377 67.9391
81.25% 6 2.3969 179.842 75.0313
81.25% 8 2.43451 199.781 82.0624
81.25% 10 2.45743 218.933 89.0904
81.25% 12 2.45998 237.696 96.6253
81.25% 14 2.46557 257.102 104.277
81.25% 16 2.51509 275.751 109.639

75% 2 3.903 215.977 55.3364
75% 4 2.4757 161.913 65.4011
75% 6 2.42568 174.629 71.9921
75% 8 2.46566 192.71 78.1573
75% 10 2.48094 210.333 84.7797
75% 12 2.49074 228.93 91.9125
75% 14 2.49102 245.773 98.6636
75% 16 2.54375 263.215 103.475
