100% 16  2.34356 359.31 153.32
100% 14  2.34742 349.343 148.82
100% 12  2.33995 319.762 136.653
100% 10  2.32885 287.548 123.472
100% 8  2.31177 256.926 111.138
100% 6  2.27799 225.282 98.895
100% 4  2.29332 199.348 86.9255
100% 2  3.34589 237.251 70.9081

93.75% 16  2.3908 327.528 136.994
93.75% 14  2.38743 316.036 132.375
93.75% 12  2.38322 290.625 121.947
93.75% 10  2.37171 263.525 111.112
93.75% 8  2.34715 236.064 100.575
93.75% 6  2.31105 208.86 90.3742
93.75% 4  2.33807 187.146 80.0428
93.75% 2  3.53003 232.215 65.7826

87.5% 16  2.4287 299.775 123.43
87.5% 14  2.42822 286.362 117.931
87.5% 12  2.42397 264.38 109.069
87.5% 10  2.41243 241.215 99.9882
87.5% 8  2.39098 218.444 91.3616
87.5% 6  2.34847 194.381 82.7693
87.5% 4  2.3998 176.922 73.7237
87.5% 2  3.75928 229.355 61.0104

81.25% 16  2.48089 273.668 110.311
81.25% 14  2.47725 261.314 105.486
81.25% 12  2.4768 243.05 98.1304
81.25% 10  2.46991 223.108 90.3301
81.25% 8  2.44553 202.755 82.9083
81.25% 6  2.39973 181.554 75.656
81.25% 4  2.49796 169.985 68.0495
81.25% 2  4.03378 228.488 56.6436

75% 16  2.50757 261.591 104.321
75% 14  2.50897 249.471 99.4318
75% 12  2.50481 231.687 92.4966
75% 10  2.49638 214.011 85.7285
75% 8  2.47157 195.492 79.0962
75% 6  2.42772 176.11 72.5418
75% 4  2.55454 166.808 65.2986
75% 2  4.20022 228.877 54.4916
