100% 2 78.7258 5065.16 64.3393
100% 4 42.5306 3298.21 77.5491
100% 6 31.4411 2863.55 91.0764
100% 8 26.7941 2773.71 103.519
100% 10 24.146 2811.62 116.442
100% 12 22.048 2852.71 129.386
100% 14 20.6626 2954.44 142.985
100% 16 19.9585 3055.18 153.077

93.75% 2 84.4658 5039.46 59.6628
93.75% 4 45.23 3224.7 71.2955
93.75% 6 33.2817 2743.18 82.4231
93.75% 8 28.1174 2638.71 93.846
93.75% 10 25.2182 2640.54 104.708
93.75% 12 23.0655 2662.84 115.447
93.75% 14 21.5463 2735.89 126.977
93.75% 16 20.3883 2754.46 135.101

87.5% 2 91.2786 5079.87 55.6525
87.5% 4 48.5221 3185.97 65.6602
87.5% 6 35.472 2676.75 75.4609
87.5% 8 29.7036 2519.92 84.8356
87.5% 10 26.4801 2486.36 93.8954
87.5% 12 24.2626 2508.71 103.398
87.5% 14 22.6016 2556.18 113.097
87.5% 16 21.1669 2542.31 120.108

81.25% 2 99.4718 5147.76 51.7508
81.25% 4 52.5797 3166.42 60.2214
81.25% 6 38.1122 2615.87 68.636
81.25% 8 31.6617 2430.85 76.7757
81.25% 10 27.9741 2371.72 84.7826
81.25% 12 25.6715 2382.34 92.8009
81.25% 14 23.883 2408.77 100.857
81.25% 16 22.2829 2380.38 106.825

75% 2 104.114 5196.14 49.9084
75% 4 54.7609 3164.47 57.787
75% 6 39.6205 2593.02 65.4464
75% 8 32.8086 2394.88 72.9956
75% 10 28.8257 2314.2 80.2825
75% 12 26.4582 2315.79 87.5264
75% 14 24.6012 2336.4 94.9708
75% 16 22.9129 2302.07 100.471
