6.25%	6329.19	2461.65	3155.75	1328.58	748.708	809.753	6.25%	162.516	67.5225	76.1899	28.2421	19.4653	21.671
12.5%	6280.02	2482.81	3085.39	1324.71	744.7	748.975	12.5%	161.51	68.2271	74.4385	28.1683	19.4319	20.0831
18.75%	4576.63	1744.84	2327.04	970.008	558.431	595.34	18.75%	115.794	47.6061	55.0103	19.8187	14.3715	15.7847
25%	3549.98	1341.79	1816.53	769.863	450.328	432.86	25%	88.332	36.3919	41.8205	15.0479	11.4555	11.386
31.25%	2713.82	1006.74	1414.14	600.311	350.011	330.774	31.25%	66.159	27.1407	31.5696	11.0795	8.78395	8.61411
37.5%	2375.54	862.026	1261.29	539.76	308.335	290.868	37.5%	56.9528	23.0618	27.5514	9.64421	7.62423	7.50767
43.75%	2120.38	741.75	1162.37	489.104	305.532	257.925	43.75%	50.192	19.7292	25.0775	8.55006	7.49376	6.60805
50%	2035.48	708.31	1118.64	493.034	288.114	229.223	50%	46.5112	18.4279	23.0463	8.25481	6.80714	5.68917
56.25%	1899.34	650.013	1055.93	457.077	291.663	205.836	56.25%	40.4587	16.1196	19.9602	6.69967	6.42432	4.85844
62.5%	1827.31	629.853	1009	450.938	260.526	196.626	62.5%	37.4751	15.172	18.1586	6.22773	5.51764	4.5156
68.75%	1783.23	593.292	1005.94	450.06	259.799	198.651	68.75%	34.0927	13.6411	16.6683	5.51563	5.14735	4.31688
75%	1729.92	565.77	980.837	466.191	243.467	176.24	75%	30.3801	12.2371	14.6583	5.07809	4.48924	3.58294
81.25%	1730.18	559.625	997.274	451.132	257.134	193.278	81.25%	29.4736	11.8484	14.4195	4.64621	4.52389	3.79726
87.5%	1725.68	544.938	1006.57	471.518	256.602	181.422	87.5%	27.0096	10.8683	13.1737	4.33685	4.16625	3.32994
93.75%	1701	535.022	996.034	477.791	243.135	176.216	93.75%	24.5358	10.0194	11.8166	3.92465	3.60893	3.03373
100%	1713.62	524.49	1016.96	497.809	241.42	175.367	100%	22.8897	9.28573	11.06	3.68942	3.34357	2.83761
Hybrid	1679.78	529.528	981.658	441.381	279.771	160.623	Hybrid	25.0959	9.3936	13.1827	5.39805	4.01036	2.61171
													
													
													
6.25%	3.6934617943	4.6934164617	3.1031210667	2.6688549223	3.1012675006	4.6174764922	6.25%	7.0999619916	7.2716415403	6.8887793852	7.6548888443	5.8217115239	7.6370607659
12.5%	3.6647681516	4.7337604149	3.0339344714	2.6610808563	3.0846657278	4.2709004545	12.5%	7.0560120928	7.3475214119	6.7304249548	7.6348857002	5.8117222011	7.0774701245
18.75%	2.6707379699	3.3267364487	2.2882315922	1.9485545661	2.3131099329	3.3948234274	18.75%	5.0587818975	5.1268020931	4.9738065099	5.3717657518	4.298250074	5.5626742223
25%	2.0716261482	2.5582756583	1.7862354468	1.5465027752	1.8653301301	2.468309317	25%	3.8590282966	3.9191210599	3.781238698	4.0786627708	3.4261283598	4.0125316728
31.25%	1.5836766611	1.9194646228	1.3905561674	1.2059062813	1.4498011764	1.8861815507	31.25%	2.8903393229	2.922839669	2.8543942134	3.0030465493	2.6271171233	3.0356920084
37.5%	1.3862700015	1.643550878	1.2402552706	1.0842712767	1.2771725623	1.6586244847	37.5%	2.4881409542	2.4835742586	2.491084991	2.6140179215	2.2802663022	2.6457723225
43.75%	1.2373688449	1.4142309672	1.1429849748	0.9825133736	1.265562091	1.4707727223	43.75%	2.1927766637	2.1246794813	2.2674050633	2.3174536919	2.2412451362	2.3287379168
50%	1.1878246052	1.3504737936	1.0999842668	0.9904079677	1.1934139674	1.3071045294	50%	2.0319707117	1.9845397185	2.0837522604	2.2374275631	2.0358897825	2.004916109
56.25%	1.1083787537	1.2393239147	1.0383200913	0.9181774536	1.2081144893	1.173744205	56.25%	1.7675504703	1.7359539853	1.8047197107	1.8159141545	1.9213953947	1.7121591762
62.5%	1.0663449306	1.2008865755	0.9921727502	0.9058454146	1.0791400878	1.1212257722	62.5%	1.6372036331	1.6339049272	1.6418264014	1.6879970293	1.6502241616	1.5913391904
68.75%	1.0406216081	1.1311788595	0.9891637823	0.9040816859	1.0761287383	1.1327729847	68.75%	1.4894341123	1.4690390524	1.507079566	1.4949856617	1.5394772653	1.521308425
75%	1.0095120272	1.0787050277	0.9644794289	0.9364856803	1.0084789993	1.0049781316	75%	1.3272388891	1.3178393083	1.3253435805	1.3763924953	1.3426487258	1.2626611832
81.25%	1.0096637528	1.0669888844	0.9806423065	0.9062351223	1.0650898848	1.102134381	81.25%	1.2876359236	1.2759793791	1.3037522604	1.2593334454	1.3530119005	1.3381895327
87.5%	1.007037733	1.038986444	0.9897832756	0.9471865716	1.0628862563	1.0345275907	87.5%	1.1799892528	1.170430327	1.1911121157	1.1754828672	1.2460483854	1.173501644
93.75%	0.9926354734	1.0200804591	0.9794229862	0.9597877901	1.0071038025	1.0048412757	93.75%	1.0719144419	1.0790104817	1.0684086799	1.0637579891	1.0793642723	1.0691145013
100%	1	1	1	1	1	1	100%	1	1	1	1	1	1
Hybrid	0.9802523313	1.0096055216	0.9652867369	0.8866472884	1.1588559357	0.9159248889	Hybrid	1.0963839631	1.0116167496	1.191925859	1.4631161538	1.1994245672	0.9203907514
