6.25%	3.6934617943	4.6934164617	3.1031210667	2.6688549223	3.1012675006	4.6174764922	6.25%	7.0999619916	7.2716415403	6.8887793852	7.6548888443	5.8217115239	7.6370607659
12.5%	3.6647681516	4.7337604149	3.0339344714	2.6610808563	3.0846657278	4.2709004545	12.5%	7.0560120928	7.3475214119	6.7304249548	7.6348857002	5.8117222011	7.0774701245
18.75%	2.6707379699	3.3267364487	2.2882315922	1.9485545661	2.3131099329	3.3948234274	18.75%	5.0587818975	5.1268020931	4.9738065099	5.3717657518	4.298250074	5.5626742223
25%	2.0716261482	2.5582756583	1.7862354468	1.5465027752	1.8653301301	2.468309317	25%	3.8590282966	3.9191210599	3.781238698	4.0786627708	3.4261283598	4.0125316728
31.25%	1.5836766611	1.9194646228	1.3905561674	1.2059062813	1.4498011764	1.8861815507	31.25%	2.8903393229	2.922839669	2.8543942134	3.0030465493	2.6271171233	3.0356920084
37.5%	1.3862700015	1.643550878	1.2402552706	1.0842712767	1.2771725623	1.6586244847	37.5%	2.4881409542	2.4835742586	2.491084991	2.6140179215	2.2802663022	2.6457723225
43.75%	1.2373688449	1.4142309672	1.1429849748	0.9825133736	1.265562091	1.4707727223	43.75%	2.1927766637	2.1246794813	2.2674050633	2.3174536919	2.2412451362	2.3287379168
50%	1.1878246052	1.3504737936	1.0999842668	0.9904079677	1.1934139674	1.3071045294	50%	2.0319707117	1.9845397185	2.0837522604	2.2374275631	2.0358897825	2.004916109
56.25%	1.1083787537	1.2393239147	1.0383200913	0.9181774536	1.2081144893	1.173744205	56.25%	1.7675504703	1.7359539853	1.8047197107	1.8159141545	1.9213953947	1.7121591762
62.5%	1.0663449306	1.2008865755	0.9921727502	0.9058454146	1.0791400878	1.1212257722	62.5%	1.6372036331	1.6339049272	1.6418264014	1.6879970293	1.6502241616	1.5913391904
68.75%	1.0406216081	1.1311788595	0.9891637823	0.9040816859	1.0761287383	1.1327729847	68.75%	1.4894341123	1.4690390524	1.507079566	1.4949856617	1.5394772653	1.521308425
75%	1.0095120272	1.0787050277	0.9644794289	0.9364856803	1.0084789993	1.0049781316	75%	1.3272388891	1.3178393083	1.3253435805	1.3763924953	1.3426487258	1.2626611832
81.25%	1.0096637528	1.0669888844	0.9806423065	0.9062351223	1.0650898848	1.102134381	81.25%	1.2876359236	1.2759793791	1.3037522604	1.2593334454	1.3530119005	1.3381895327
87.5%	1.007037733	1.038986444	0.9897832756	0.9471865716	1.0628862563	1.0345275907	87.5%	1.1799892528	1.170430327	1.1911121157	1.1754828672	1.2460483854	1.173501644
93.75%	0.9926354734	1.0200804591	0.9794229862	0.9597877901	1.0071038025	1.0048412757	93.75%	1.0719144419	1.0790104817	1.0684086799	1.0637579891	1.0793642723	1.0691145013
100%	1	1	1	1	1	1	100%	1	1	1	1	1	1
Hybrid	0.9802523313	1.0096055216	0.9652867369	0.8866472884	1.1588559357	0.9159248889	Hybrid	1.0963839631	1.0116167496	1.191925859	1.4631161538	1.1994245672	0.9203907514
