37.5%	0.8705012243	0.9599968506	1.4359429255	1.1054913915	1.0707472613	0.8350454029	2.0179107185	2.1794972952	2.4077530671	2.9685541811	2.651161277	1.8198775147		0.610608358	1.5058786223
43.75%	0.7834679528	0.8573658423	1.2481573342	0.9500483019	0.9701926827	0.7572676479	1.7283609294	1.8502412298	2.0825387053	2.4553951535	2.3269800289	1.5329129337		0.5688704903	1.3421492341
50%	0.7804378584	0.8522963825	1.2051005223	0.9232772315	1.0501173476	0.7528311308	1.6638214896	1.7894921184	1.9578709474	2.2390277658	2.4190143519	1.509578934		0.5717626577	1.2655990828
56.25%	0.765084969	0.8228976591	1.1108645794	0.8952309905	0.9466684229	0.743483416	1.5001031285	1.59720108	1.6905830943	1.9158319701	1.9386285975	1.4372544387		0.5971984885	1.1924212118
62.5%	0.7632221134	0.8160987813	1.0807586589	0.8875069769	0.9079625309	0.7447964935	1.3508286121	1.4161122647	1.5981184209	1.7749460277	1.735300435	1.2036491177		0.6096697073	1.1439591667
68.75%	0.7738443976	0.8137436235	1.0358472178	0.8844628827	0.8920333637	0.7516968291	1.2871376056	1.3450596483	1.4502725512	1.5532101139	1.4956510419	1.235299035		0.6579781302	1.1035954727
75%	0.7983923751	0.8256658328	1.0116786788	0.8925282298	0.895413522	0.7717382147	1.1931706975	1.2304817476	1.3194104485	1.3812897218	1.349862773	1.1464153961		0.7191909954	1.0749402381
81.25%	0.8193430788	0.8412568393	0.9988515071	0.9076639045	0.9094541797	0.7926056678	1.1530456559	1.1816161146	1.2588109861	1.3170938209	1.2839330462	1.1063368892		0.7557061141	1.0625121963
87.5%	0.8689312059	0.8846207505	0.9935338916	0.9315797948	0.9788740104	0.8451328797	1.0923373312	1.11118702	1.1575616056	1.1898595924	1.2544959483	1.058189616		0.8233691946	1.0326068397
93.75%	0.9361799849	0.9411873587	0.9959837764	0.9682377313	0.9606577624	0.9240223326	1.0434646503	1.0492466741	1.0814875437	1.0834553091	1.0637123982	1.0326675995		0.9216387077	1.0251426968
100%	1	1	1	1	1	1	1	1	1	1	1	1		1	1
