6.25%	18106.4	16236.2	3588.2	2919.5	1709.66	8018.81	397.988	360.912	98.559	65.6746	39.412	156.624		1870.2	37.076
12.5%	18301.9	16372.3	3595.89	2940.06	1879.79	7956.55	402.598	364.317	98.6544	66.717	43.6785	156.625		1929.6	38.281
18.75%	13947.6	12015.5	2533.9	2120.74	1227.26	6133.62	288.916	252.397	68.6287	46.4432	26.7887	110.32		1932.1	36.519
25%	11780	9958.29	1965.71	1602.45	983.64	5406.48	231.869	198.921	52.9515	33.1305	20.1729	92.0123		1821.71	32.948
31.25%	9475.18	7833.02	1457.77	1180.39	742.446	4452.41	173.076	145.202	38.7021	22.4072	15.1495	68.954		1642.16	27.874
37.5%	8472.04	6949.83	1230.28	1029.92	625.946	4063.69	137.947	113.253	32.0679	18.618	12.2196	50.0712		1522.21	24.694
43.75%	7625	6206.84	1069.39	885.103	567.163	3685.19	118.153	96.1439	27.7365	15.3996	10.7254	42.1758		1418.16	22.0091
50%	7595.51	6170.14	1032.5	860.162	613.886	3663.6	113.741	92.9872	26.0761	14.0426	11.1496	41.5338		1425.37	20.7538
56.25%	7446.09	5957.31	951.761	834.033	553.411	3618.11	102.549	82.9952	22.5162	12.0156	8.93543	39.5439		1488.78	19.5538
62.5%	7427.96	5908.09	925.967	826.837	530.784	3624.5	92.3444	73.5853	21.2847	11.132	7.99826	33.1166		1519.87	18.7591
68.75%	7531.34	5891.04	887.488	824.001	521.472	3658.08	87.9904	69.8932	19.3156	9.74133	6.89368	33.9874		1640.3	18.0972
75%	7770.25	5977.35	866.781	831.515	523.448	3755.61	81.5667	63.9394	17.5727	8.66309	6.22172	31.5419		1792.9	17.6273
81.25%	7974.15	6090.22	855.791	845.616	531.656	3857.16	78.8237	61.4002	16.7656	8.26047	5.91784	30.4392		1883.93	17.4235
87.5%	8456.76	6404.15	851.235	867.897	572.238	4112.78	74.6736	57.7405	15.4171	7.46249	5.78216	29.1145		2052.61	16.9331
93.75%	9111.25	6813.66	853.334	902.049	561.589	4496.69	71.3326	54.5219	14.4039	6.79515	4.90281	28.4123		2297.59	16.8107
100%	9732.37	7239.43	856.775	931.64	584.588	4866.43	68.3613	51.9629	13.3186	6.27174	4.60915	27.5135		2492.94	16.3984
															
															
6.25%	1.860430707	2.2427456305	4.1880306965	3.1337211799	2.9245554134	1.6477808167	5.8218319429	6.9455707822	7.4001021128	10.471511893	8.5508173958	5.6926236211		0.7501985607	2.260952288
12.5%	1.8805183116	2.2615454532	4.1970062152	3.15578979	3.2155808877	1.6349870439	5.8892677582	7.0110983028	7.4072650279	10.6377177625	9.4764761399	5.6926599669		0.774025849	2.3344350668
18.75%	1.4331144418	1.6597301169	2.957485921	2.2763513804	2.0993588647	1.2603941699	4.22630933	4.8572539254	5.1528463953	7.4051539126	5.8120694705	4.0096679812		0.775028681	2.2269855596
25%	1.2103937684	1.375562717	2.294312976	1.7200313426	1.6826209228	1.1109745748	3.391816715	3.8281350733	3.9757557101	5.2825053334	4.376707202	3.3442600905		0.7307476313	2.0092204117
31.25%	0.9735737544	1.0819940244	1.7014618774	1.2670022756	1.2700329121	0.91492326	2.5317833336	2.7943398078	2.9058684847	3.5727246346	3.2868316284	2.5061878714		0.6587242372	1.6997999805
37.5%	0.8705012243	0.9599968506	1.4359429255	1.1054913915	1.0707472613	0.8350454029	2.0179107185	2.1794972952	2.4077530671	2.9685541811	2.651161277	1.8198775147		0.610608358	1.5058786223
43.75%	0.7834679528	0.8573658423	1.2481573342	0.9500483019	0.9701926827	0.7572676479	1.7283609294	1.8502412298	2.0825387053	2.4553951535	2.3269800289	1.5329129337		0.5688704903	1.3421492341
50%	0.7804378584	0.8522963825	1.2051005223	0.9232772315	1.0501173476	0.7528311308	1.6638214896	1.7894921184	1.9578709474	2.2390277658	2.4190143519	1.509578934		0.5717626577	1.2655990828
56.25%	0.765084969	0.8228976591	1.1108645794	0.8952309905	0.9466684229	0.743483416	1.5001031285	1.59720108	1.6905830943	1.9158319701	1.9386285975	1.4372544387		0.5971984885	1.1924212118
62.5%	0.7632221134	0.8160987813	1.0807586589	0.8875069769	0.9079625309	0.7447964935	1.3508286121	1.4161122647	1.5981184209	1.7749460277	1.735300435	1.2036491177		0.6096697073	1.1439591667
68.75%	0.7738443976	0.8137436235	1.0358472178	0.8844628827	0.8920333637	0.7516968291	1.2871376056	1.3450596483	1.4502725512	1.5532101139	1.4956510419	1.235299035		0.6579781302	1.1035954727
75%	0.7983923751	0.8256658328	1.0116786788	0.8925282298	0.895413522	0.7717382147	1.1931706975	1.2304817476	1.3194104485	1.3812897218	1.349862773	1.1464153961		0.7191909954	1.0749402381
81.25%	0.8193430788	0.8412568393	0.9988515071	0.9076639045	0.9094541797	0.7926056678	1.1530456559	1.1816161146	1.2588109861	1.3170938209	1.2839330462	1.1063368892		0.7557061141	1.0625121963
87.5%	0.8689312059	0.8846207505	0.9935338916	0.9315797948	0.9788740104	0.8451328797	1.0923373312	1.11118702	1.1575616056	1.1898595924	1.2544959483	1.058189616		0.8233691946	1.0326068397
93.75%	0.9361799849	0.9411873587	0.9959837764	0.9682377313	0.9606577624	0.9240223326	1.0434646503	1.0492466741	1.0814875437	1.0834553091	1.0637123982	1.0326675995		0.9216387077	1.0251426968
100%	1	1	1	1	1	1	1	1	1	1	1	1		1	1
