37.5%	38193.5	685.883	26196272.3605
43.75%	33114.7	567.065	18778187.3555
50%	32345.3	522.325	16894758.8225
56.25%	31366.3	444.439	13940407.0057
62.5%	31095	413.313	12851967.735
68.75%	31026.6	362.848	11257939.7568
75%	31404.6	324.083	10177696.9818
81.25%	31895.6	308.291	9833126.4196
87.5%	32848.9	278.472	9147498.8808
93.75%	34355.9	254.486	8743095.5674
100%	35640.5	235.335	8387457.0675
			
			
37.5%	1.0716319917	2.9144963563	3.123267535
43.75%	0.929131185	2.4096075807	2.2388415469
50%	0.9075433846	2.2194956126	2.0142885605
56.25%	0.8800746342	1.8885376166	1.6620540521
62.5%	0.8724625075	1.7562750972	1.5322841752
68.75%	0.8705433425	1.541836106	1.3422351574
75%	0.8811492544	1.3771134765	1.213442513
81.25%	0.8949257165	1.3100091359	1.1723608646
87.5%	0.9216733772	1.1833004016	1.0906164773
93.75%	0.9639567346	1.0813776106	1.0424012304
100%	1	1	1
