bench time energy avgpower
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse.exe 0.321857 15.554340 48.326853
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector.exe 0.320132 15.623310 48.802681
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x16x16.exe 0.081999 4.025520 49.092295
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x16x1.exe 0.064835 3.236070 49.912218
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x16x32.exe 0.085128 4.128540 48.498096
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x16x64.exe 0.083434 4.142010 49.644232
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x1x16.exe 0.080453 4.073310 50.629861
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x1x1.exe 0.059435 3.108930 52.308344
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x1x32.exe 0.077050 4.133730 53.650239
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x1x64.exe 0.076801 4.082190 53.152671
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x32x16.exe 0.091802 4.447380 48.445488
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x32x1.exe 0.072701 3.550650 48.838748
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x32x32.exe 0.089402 4.434210 49.598512
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x32x64.exe 0.090263 4.464360 49.459289
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x64x16.exe 0.099755 4.908060 49.201093
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x64x1.exe 0.080283 3.926010 48.901916
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x64x32.exe 0.101063 5.066700 50.134155
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x64x64.exe 0.101343 4.981320 49.152930
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x16x16.exe 0.249019 12.616770 50.665831
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x16x1.exe 0.263169 13.294200 50.515825
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x16x32.exe 0.240756 12.107130 50.288012
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x16x64.exe 0.230713 11.871330 51.455037
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x1x16.exe 0.408201 21.029460 51.517414
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x1x1.exe 0.312515 15.259230 48.827118
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x1x32.exe 0.406788 20.957340 51.519130
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x1x64.exe 0.408476 21.271050 52.074111
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x32x16.exe 0.288256 14.222970 49.341395
polybench-v3.2/covariance-pocc-flags/covariance_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x32x1.exe 0.265484 13.274790 50.002225
