bench time energy avgpower
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse.exe 0.026958 1.196280 44.374986
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector.exe 0.025197 1.099080 43.619305
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x16x16.exe 0.116233 5.600370 48.182245
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x16x1.exe 0.129771 6.114540 47.117913
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x16x32.exe 0.114579 5.454840 47.607559
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x16x64.exe 0.116995 5.504550 47.049506
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x1x16.exe 0.127084 5.919450 46.578854
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x1x32.exe 0.118081 5.665860 47.982755
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x1x64.exe 0.115640 5.408910 46.773816
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x32x16.exe 0.116426 5.341380 45.877958
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x32x1.exe 0.122527 5.636070 45.998742
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x32x32.exe 0.111702 5.196330 46.519389
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x32x64.exe 0.112521 5.347470 47.524397
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x64x1.exe 0.119534 5.541690 46.360744
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x16x1.exe 0.036052 1.721370 47.746556
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x1x1.exe 0.067879 3.387330 49.902643
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x32x1.exe 0.043403 2.109360 48.599155
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x64x1.exe 0.048816 2.363880 48.424317
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_32x16x16.exe 0.141434 6.681690 47.242625
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_32x16x1.exe 0.161197 7.595580 47.119832
polybench-v3.2/jacobi-2d-imper-pocc-flags/jacobi-2d-imper_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_32x16x32.exe 0.297077 13.076490 44.017151
