bench time energy avgpower
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse.exe 0.420779 19.486110 46.309634
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector.exe 0.421132 19.358295 45.967253
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x16x16.exe 0.278015 13.095840 47.104876
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x16x1.exe 0.314017 14.779590 47.066169
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x16x32.exe 0.306011 14.436240 47.175618
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x16x64.exe 0.321302 15.192150 47.283081
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x1x16.exe 0.284247 13.391820 47.113402
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x1x1.exe 0.222642 10.400760 46.715273
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x1x32.exe 0.316439 15.031770 47.502915
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x1x64.exe 0.327770 15.514950 47.334824
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x32x16.exe 0.268254 12.618690 47.040146
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x32x1.exe 0.343417 16.215150 47.217070
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x32x32.exe 0.303644 14.371350 47.329578
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x32x64.exe 0.322797 15.292230 47.374066
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x64x16.exe 0.269405 12.780960 47.441500
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x64x1.exe 0.360901 17.052810 47.250626
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x64x32.exe 0.307610 14.491320 47.109411
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_16x64x64.exe 0.325727 15.325020 47.048689
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x16x16.exe 0.054116 2.473290 45.703686
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x16x1.exe 0.061711 2.798400 45.347015
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x16x32.exe 0.063045 2.903130 46.048424
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x16x64.exe 0.067573 3.104580 45.944016
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x1x16.exe 0.219742 9.867150 44.903274
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x1x1.exe 0.073442 3.261810 44.413664
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x1x32.exe 0.073044 3.483600 47.691694
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x1x64.exe 0.071302 3.314490 46.485114
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x32x16.exe 0.056318 2.601990 46.201474
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x32x1.exe 0.071763 3.353850 46.734832
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x32x32.exe 0.063347 2.899710 45.774675
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x32x64.exe 0.071779 3.321900 46.279504
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x64x16.exe 0.059839 2.733090 45.674308
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x64x1.exe 0.077819 3.686730 47.375801
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x64x32.exe 0.067966 3.193620 46.988610
polybench-v3.2/seidel-2d-pocc-flags/seidel-2d_--pluto-fuse_maxfuse_--pluto-prevector_--pluto-tile_1x64x64.exe 0.069558 3.277410 47.117988
